product_code,barcode,product_type,category_path,product_name,brand,uom,sale_price,cost_price,stock_on_hand,min_stock,max_stock,weight,conversion_rate,is_active,is_direct_sale
SKU-BAD-1001,893890779946,Hàng hóa,Áo thun > Graphic Tee,Bad Rabbit Graphic Tee Trắng - Size M,Bad Rabbit,Cái,447000,187000,60,10,300,200,1,True,True
SKU-SWE-1002,893349817734,Hàng hóa,Áo thun > Oversize Tee,SWE Oversize Tee Trắng - Size S,SWE,Cái,401000,154000,75,10,300,1000,1,True,True
SKU-TEE-1003,893582334538,Hàng hóa,Áo thun > Basic Logo,Teelab Basic Logo Trắng - Size XL,Teelab,Cái,244000,100000,97,10,300,1000,1,True,True
SKU-DIR-1004,893398362082,Hàng hóa,Áo thun > Graphic Tee Endless,DirtyCoins Graphic Tee Endless Xám - Size XL,DirtyCoins,Cái,419000,206000,91,10,300,350,1,True,True
SKU-TEE-1005,893469319644,Hàng hóa,Accessories > Cap,Teeworld Cap Xám - Size S,Teeworld,Chiếc,133000,52000,72,10,300,1000,1,True,True
SKU-DIR-1006,893184611066,Hàng hóa,Áo thun > Graphic Tee Endless,DirtyCoins Graphic Tee Endless Be - Size S,DirtyCoins,Cái,416000,185000,105,10,300,1000,1,True,True
SKU-DIR-1007,893810026086,Hàng hóa,Pants > Baggy Jeans,DirtyCoins Baggy Jeans Đen - Size S,DirtyCoins,Cái,631000,257000,76,10,300,350,1,True,True
SKU-DIR-1008,893398471886,Hàng hóa,Áo thun > Graphic Tee Endless,DirtyCoins Graphic Tee Endless Be - Size S,DirtyCoins,Cái,432000,178000,62,10,300,750,1,True,True
SKU-NOW-1009,893833953718,Hàng hóa,Áo thun > Basic Tee,Now Saigon Basic Tee Rêu - Size L,Now Saigon,Cái,277000,119000,89,10,300,200,1,True,True
SKU-TEE-1010,893507437181,Hàng hóa,Áo thun > Basic Logo,Teelab Basic Logo Be - Size M,Teelab,Cái,240000,116000,64,10,300,500,1,True,True
SKU-SWE-1011,893982403818,Hàng hóa,Áo thun > Oversize Tee,SWE Oversize Tee Trắng - Size S,SWE,Cái,375000,187000,74,10,300,200,1,True,True
SKU-NOW-1012,893803771909,Hàng hóa,Áo Polo > Streetwear,Now Saigon Streetwear Trắng - Size L,Now Saigon,Cái,355000,138000,53,10,300,750,1,True,True
SKU-THE-1013,893702764446,Hàng hóa,Pants > Denim Short,The Orbit Denim Short Rêu - Size M,The Orbit,Chiếc,387000,161000,73,10,300,1000,1,True,True
SKU-DIR-1014,893248532577,Hàng hóa,Pants > Baggy Jeans,DirtyCoins Baggy Jeans Trắng - Size L,DirtyCoins,Cái,715000,330000,75,10,300,1000,1,True,True
SKU-TSU-1015,893271779360,Hàng hóa,Áo thun > Graphic Logo Tee,TSUN Graphic Logo Tee Rêu - Size M,TSUN,Cái,292000,146000,57,10,300,750,1,True,True
SKU-TEE-1016,893369953851,Hàng hóa,Áo thun > Basic Logo,Teelab Basic Logo Xanh Navy - Size XL,Teelab,Cái,220000,95000,79,10,300,1000,1,True,True
SKU-COO-1017,893788227492,Hàng hóa,Menswear > Quần Lót Bamboo,Coolmate Quần Lót Bamboo Nâu - Size L,Coolmate,Cái,85000,40000,67,10,300,500,1,True,True
SKU-BAD-1018,893872751234,Hàng hóa,Pants > Short Nỉ Wave,Bad Rabbit Short Nỉ Wave Rêu - Size S,Bad Rabbit,Chiếc,494000,199000,92,10,300,500,1,True,True
SKU-SWE-1019,893786066793,Hàng hóa,Áo thun > Oversize Tee,SWE Oversize Tee Nâu - Size L,SWE,Cái,423000,215000,115,10,300,1000,1,True,True
SKU-TEE-1020,893936043811,Hàng hóa,Áo thun > Basic Logo,Teelab Basic Logo Xanh Navy - Size M,Teelab,Cái,190000,82000,68,10,300,1000,1,True,True
SKU-COO-1021,893992994062,Hàng hóa,Menswear > Quần Lót Bamboo,Coolmate Quần Lót Bamboo Xám - Size S,Coolmate,Cái,112000,50000,99,10,300,500,1,True,True
SKU-TEE-1022,893885879795,Hàng hóa,Áo thun > Graphic Tee,Teeworld Graphic Tee Đen - Size S,Teeworld,Cái,252000,127000,94,10,300,750,1,True,True
SKU-BAD-1023,893277303722,Hàng hóa,Outerwear > Hoodie,Bad Rabbit Hoodie Xanh Navy - Size XL,Bad Rabbit,Cái,751000,299000,96,10,300,500,1,True,True
SKU-SWE-1024,893434702822,Hàng hóa,Outerwear > Hoodie Sweater,SWE Hoodie Sweater Rêu - Size M,SWE,Cái,753000,308000,64,10,300,750,1,True,True
SKU-NOW-1025,893341266931,Hàng hóa,Áo Polo > Streetwear,Now Saigon Streetwear Trắng - Size S,Now Saigon,Cái,438000,198000,77,10,300,200,1,True,True
SKU-NOW-1026,893860038427,Hàng hóa,Áo thun > Basic Tee,Now Saigon Basic Tee Đen - Size S,Now Saigon,Cái,240000,111000,83,10,300,200,1,True,True
