invoice_line_id,invoice_code,product_code,quantity,unit_price,line_discount_percent,line_discount_amount,line_total
1,HDIP000001,SKU-THE-1075,2,503000.0,15.0,151000.0,855000.0
2,HDIP000001,SKU-TEE-1040,1,172000.0,5.0,9000.0,163000.0
3,HDIP000001,SKU-DKM-1102,1,454000.0,15.0,68000.0,386000.0
4,HDIP000001,SKU-TEE-1116,1,270000.0,10.0,27000.0,243000.0
5,HDIP000001,SKU-DIR-1093,1,544000.0,15.0,82000.0,462000.0
6,HDIP000002,SKU-TEE-1088,1,274000.0,10.0,27000.0,247000.0
7,HDIP000003,SKU-THE-1053,1,675000.0,5.0,34000.0,641000.0
8,HDIP000004,SKU-TSU-1067,1,608000.0,15.0,91000.0,517000.0
9,HDIP000004,SKU-TEE-1027,1,339000.0,5.0,17000.0,322000.0
10,HDIP000005,SKU-BAD-1087,2,731000.0,15.0,219000.0,1243000.0
11,HDIP000005,SKU-NOW-1099,1,356000.0,15.0,53000.0,303000.0
12,HDIP000006,SKU-TEE-1039,1,301000.0,0.0,0.0,301000.0
13,HDIP000007,SKU-DKM-1045,1,524000.0,15.0,79000.0,445000.0
14,HDIP000008,SKU-TEE-1051,3,201000.0,0.0,0.0,603000.0
15,HDIP000008,SKU-BAD-1105,1,403000.0,0.0,0.0,403000.0
16,HDIP000008,SKU-DKM-1045,3,524000.0,0.0,0.0,1572000.0
17,HDIP000009,SKU-DIR-1106,1,353000.0,10.0,35000.0,318000.0
18,HDIP000010,SKU-COO-1086,2,365000.0,0.0,0.0,730000.0
19,HDIP000011,SKU-DKM-1061,1,205000.0,0.0,0.0,205000.0
20,HDIP000012,SKU-DIR-1113,1,595000.0,0.0,0.0,595000.0
21,HDIP000012,SKU-DKM-1061,1,205000.0,0.0,0.0,205000.0
22,HDIP000013,SKU-TSU-1030,1,306000.0,0.0,0.0,306000.0
23,HDIP000013,SKU-BAD-1069,2,415000.0,0.0,0.0,830000.0
24,HDIP000014,SKU-SWE-1024,3,753000.0,0.0,0.0,2259000.0
25,HDIP000014,SKU-DIR-1120,2,510000.0,0.0,0.0,1020000.0
26,HDIP000014,SKU-TSU-1096,1,405000.0,10.0,40000.0,365000.0
27,HDIP000015,SKU-BAD-1018,1,494000.0,0.0,0.0,494000.0
28,HDIP000015,SKU-DIR-1109,2,341000.0,0.0,0.0,682000.0
29,HDIP000015,SKU-DIR-1065,1,426000.0,5.0,21000.0,405000.0
30,HDIP000016,SKU-DKM-1102,1,454000.0,0.0,0.0,454000.0
31,HDIP000016,SKU-DKM-1038,1,228000.0,15.0,34000.0,194000.0
32,HDIP000017,SKU-THE-1013,1,387000.0,0.0,0.0,387000.0
33,HDIP000018,SKU-TEE-1031,1,290000.0,0.0,0.0,290000.0
34,HDIP000019,SKU-DIR-1047,1,320000.0,0.0,0.0,320000.0
35,HDIP000020,SKU-DIR-1065,2,426000.0,15.0,128000.0,724000.0
36,HDIP000021,SKU-THE-1029,1,475000.0,0.0,0.0,475000.0
37,HDIP000022,SKU-TSU-1071,2,610000.0,10.0,122000.0,1098000.0
38,HDIP000023,SKU-THE-1068,1,496000.0,10.0,50000.0,446000.0
39,HDIP000023,SKU-DKM-1091,1,657000.0,10.0,66000.0,591000.0
40,HDIP000024,SKU-TSU-1110,1,633000.0,0.0,0.0,633000.0
41,HDIP000025,SKU-TEE-1066,1,230000.0,0.0,0.0,230000.0
42,HDIP000026,SKU-TSU-1072,1,352000.0,0.0,0.0,352000.0
43,HDIP000026,SKU-DIR-1060,1,655000.0,5.0,33000.0,622000.0
44,HDIP000027,SKU-DKM-1045,1,524000.0,10.0,52000.0,472000.0
45,HDIP000028,SKU-SWE-1024,1,753000.0,15.0,113000.0,640000.0
46,HDIP000029,SKU-DIR-1117,1,397000.0,15.0,60000.0,337000.0
47,HDIP000029,SKU-TEE-1049,2,226000.0,0.0,0.0,452000.0
48,HDIP000029,SKU-SWE-1011,1,375000.0,0.0,0.0,375000.0
49,HDIP000030,SKU-THE-1029,1,475000.0,0.0,0.0,475000.0
50,HDIP000030,SKU-TEE-1107,3,179000.0,5.0,27000.0,510000.0
51,HDIP000031,SKU-TEE-1032,1,278000.0,0.0,0.0,278000.0
52,HDIP000031,SKU-TEE-1059,2,177000.0,15.0,53000.0,301000.0
53,HDIP000031,SKU-DKM-1045,1,524000.0,0.0,0.0,524000.0
54,HDIP000032,SKU-THE-1013,1,387000.0,5.0,19000.0,368000.0
55,HDIP000033,SKU-NOW-1052,1,425000.0,0.0,0.0,425000.0
56,HDIP000033,SKU-BAD-1057,1,664000.0,0.0,0.0,664000.0
57,HDIP000034,SKU-NOW-1099,2,356000.0,0.0,0.0,712000.0
58,HDIP000034,SKU-BAD-1087,1,731000.0,0.0,0.0,731000.0
59,HDIP000035,SKU-TSU-1072,2,352000.0,15.0,106000.0,598000.0
60,HDIP000036,SKU-DKM-1045,2,524000.0,15.0,157000.0,891000.0
61,HDIP000037,SKU-TEE-1039,1,301000.0,10.0,30000.0,271000.0
62,HDIP000038,SKU-SWE-1019,2,423000.0,10.0,85000.0,761000.0
63,HDIP000038,SKU-DIR-1104,1,605000.0,5.0,30000.0,575000.0
64,HDIP000038,SKU-DIR-1060,1,655000.0,0.0,0.0,655000.0
65,HDIP000039,SKU-DIR-1119,2,693000.0,0.0,0.0,1386000.0
66,HDIP000039,SKU-BAD-1058,1,430000.0,0.0,0.0,430000.0
67,HDIP000040,SKU-NOW-1025,1,438000.0,15.0,66000.0,372000.0
68,HDIP000040,SKU-SWE-1103,1,683000.0,5.0,34000.0,649000.0
69,HDIP000040,SKU-NOW-1098,1,393000.0,0.0,0.0,393000.0
70,HDIP000041,SKU-BAD-1097,2,438000.0,15.0,131000.0,745000.0
71,HDIP000041,SKU-TEE-1062,1,326000.0,0.0,0.0,326000.0
72,HDIP000042,SKU-BAD-1069,1,415000.0,0.0,0.0,415000.0
73,HDIP000043,SKU-DIR-1093,1,544000.0,0.0,0.0,544000.0
74,HDIP000044,SKU-THE-1029,1,475000.0,0.0,0.0,475000.0
75,HDIP000044,SKU-DIR-1095,1,388000.0,10.0,39000.0,349000.0
76,HDIP000045,SKU-TSU-1030,1,306000.0,0.0,0.0,306000.0
77,HDIP000046,SKU-DIR-1106,1,353000.0,15.0,53000.0,300000.0
78,HDIP000047,SKU-SWE-1046,1,566000.0,10.0,57000.0,509000.0
79,HDIP000047,SKU-TEE-1022,1,252000.0,10.0,25000.0,227000.0
80,HDIP000048,SKU-COO-1086,1,365000.0,15.0,55000.0,310000.0
81,HDIP000048,SKU-DIR-1007,1,631000.0,15.0,95000.0,536000.0
82,HDIP000048,SKU-NOW-1098,1,393000.0,0.0,0.0,393000.0
83,HDIP000048,SKU-BAD-1001,1,447000.0,0.0,0.0,447000.0
84,HDIP000049,SKU-TEE-1003,1,244000.0,5.0,12000.0,232000.0
85,HDIP000049,SKU-BAD-1001,1,447000.0,10.0,45000.0,402000.0
86,HDIP000050,SKU-DIR-1117,2,397000.0,10.0,79000.0,715000.0
87,HDIP000050,SKU-BAD-1023,1,751000.0,0.0,0.0,751000.0
88,HDIP000050,SKU-DIR-1014,1,715000.0,0.0,0.0,715000.0
89,HDIP000051,SKU-NOW-1052,1,425000.0,0.0,0.0,425000.0
90,HDIP000052,SKU-TEE-1049,1,226000.0,5.0,11000.0,215000.0
91,HDIP000053,SKU-DIR-1109,1,341000.0,0.0,0.0,341000.0
92,HDIP000054,SKU-TEE-1116,2,270000.0,10.0,54000.0,486000.0
93,HDIP000055,SKU-NOW-1073,1,216000.0,0.0,0.0,216000.0
94,HDIP000055,SKU-NOW-1085,1,210000.0,0.0,0.0,210000.0
95,HDIP000055,SKU-TEE-1005,1,133000.0,15.0,20000.0,113000.0
96,HDIP000056,SKU-DIR-1109,1,341000.0,10.0,34000.0,307000.0
97,HDIP000056,SKU-NOW-1050,1,245000.0,15.0,37000.0,208000.0
98,HDIP000057,SKU-COO-1056,1,275000.0,0.0,0.0,275000.0
99,HDIP000058,SKU-SWE-1042,1,535000.0,5.0,27000.0,508000.0
100,HDIP000058,SKU-DIR-1004,1,419000.0,0.0,0.0,419000.0
101,HDIP000058,SKU-DIR-1082,1,382000.0,5.0,19000.0,363000.0
102,HDIP000058,SKU-DIR-1035,1,555000.0,15.0,83000.0,472000.0
103,HDIP000059,SKU-TSU-1092,1,708000.0,5.0,35000.0,673000.0
104,HDIP000059,SKU-TEE-1010,1,240000.0,15.0,36000.0,204000.0
105,HDIP000059,SKU-SWE-1011,1,375000.0,5.0,19000.0,356000.0
106,HDIP000060,SKU-BAD-1057,1,664000.0,0.0,0.0,664000.0
107,HDIP000060,SKU-DIR-1047,1,320000.0,5.0,16000.0,304000.0
108,HDIP000060,SKU-NOW-1098,1,393000.0,10.0,39000.0,354000.0
109,HDIP000060,SKU-DIR-1035,1,555000.0,0.0,0.0,555000.0
110,HDIP000061,SKU-SWE-1002,1,401000.0,0.0,0.0,401000.0
111,HDIP000061,SKU-DKM-1038,1,228000.0,10.0,23000.0,205000.0
112,HDIP000061,SKU-THE-1053,2,675000.0,0.0,0.0,1350000.0
113,HDIP000062,SKU-DIR-1035,1,555000.0,5.0,28000.0,527000.0
114,HDIP000063,SKU-TEE-1062,1,326000.0,0.0,0.0,326000.0
115,HDIP000064,SKU-NOW-1026,1,240000.0,0.0,0.0,240000.0
116,HDIP000064,SKU-TEE-1059,1,177000.0,5.0,9000.0,168000.0
117,HDIP000065,SKU-BAD-1105,2,403000.0,15.0,121000.0,685000.0
118,HDIP000066,SKU-BAD-1023,3,751000.0,0.0,0.0,2253000.0
119,HDIP000066,SKU-TEE-1051,1,201000.0,15.0,30000.0,171000.0
120,HDIP000067,SKU-BAD-1105,1,403000.0,0.0,0.0,403000.0
121,HDIP000068,SKU-TSU-1071,3,610000.0,5.0,92000.0,1738000.0
122,HDIP000068,SKU-DIR-1004,2,419000.0,0.0,0.0,838000.0
123,HDIP000069,SKU-DKM-1102,1,454000.0,15.0,68000.0,386000.0
124,HDIP000069,SKU-THE-1053,1,675000.0,0.0,0.0,675000.0
125,HDIP000069,SKU-BAD-1087,1,731000.0,15.0,110000.0,621000.0
126,HDIP000070,SKU-BAD-1069,2,415000.0,15.0,124000.0,706000.0
127,HDIP000070,SKU-DIR-1065,1,426000.0,0.0,0.0,426000.0
128,HDIP000071,SKU-TEE-1032,1,278000.0,0.0,0.0,278000.0
129,HDIP000072,SKU-DKM-1043,1,592000.0,0.0,0.0,592000.0
130,HDIP000072,SKU-DKM-1102,1,454000.0,15.0,68000.0,386000.0
131,HDIP000072,SKU-COO-1056,1,275000.0,10.0,28000.0,247000.0
132,HDIP000072,SKU-DIR-1014,1,715000.0,0.0,0.0,715000.0
133,HDIP000073,SKU-DIR-1004,1,419000.0,0.0,0.0,419000.0
