order_code,order_time,customer_code,employee_code,amount_due,amount_paid,status
DH000001,2026-02-28 22:46:03,CUST-0109,EMP-004,0.0,897000.0,Hoàn thành
DH000002,2026-05-12 17:23:02,CUST-0221,EMP-017,0.0,2404000.0,Hoàn thành
DH000003,2026-05-14 21:01:05,CUST-0218,EMP-025,0.0,1849000.0,Hoàn thành
DH000004,2026-03-25 21:36:42,CUST-0060,EMP-008,0.0,1756000.0,Hoàn thành
DH000005,2026-07-22 02:26:37,CUST-0245,EMP-022,0.0,1488000.0,Hoàn thành
DH000006,2026-02-18 23:21:40,CUST-0315,EMP-024,0.0,730000.0,Hoàn thành
DH000007,2026-06-09 14:57:42,CUST-0232,EMP-023,0.0,2189000.0,Hoàn thành
DH000008,2026-03-02 03:59:14,CUST-0147,EMP-019,0.0,1998000.0,Hoàn thành
DH000009,2026-07-01 18:43:10,CUST-0320,EMP-019,1855000.0,0.0,Đã hủy
DH000010,2026-06-27 00:21:29,CUST-0075,EMP-018,529500.0,529500.0,Đang xử lý
DH000011,2026-03-24 00:52:43,CUST-0290,EMP-004,0.0,1003000.0,Hoàn thành
DH000012,2026-07-07 19:43:56,CUST-0056,EMP-006,0.0,1304000.0,Hoàn thành
DH000013,2026-02-05 12:05:55,CUST-0289,EMP-018,1898000.0,0.0,Đã hủy
DH000014,2026-04-24 15:27:37,CUST-0328,EMP-004,568000.0,0.0,Đã hủy
DH000015,2026-03-08 19:02:20,CUST-0090,EMP-024,1186000.0,1186000.0,Đang xử lý
DH000016,2026-07-19 08:15:20,CUST-0333,EMP-008,0.0,1369000.0,Hoàn thành
DH000017,2026-07-17 03:52:38,CUST-0177,EMP-014,0.0,540000.0,Hoàn thành
DH000018,2026-05-12 12:32:27,CUST-0175,EMP-001,0.0,1097000.0,Hoàn thành
DH000019,2026-03-18 12:40:11,CUST-0223,EMP-022,0.0,1463000.0,Hoàn thành
DH000020,2026-04-29 10:47:33,CUST-0008,EMP-018,731000.0,0.0,Đã hủy
DH000021,2026-03-27 18:45:48,CUST-0098,EMP-017,140500.0,140500.0,Đang xử lý
DH000022,2026-05-11 00:15:52,CUST-0137,EMP-013,0.0,704000.0,Hoàn thành
